scope,target_code,target_name,meal_slot,unit,min_value,target_value,max_value,source,notes
daily,energy_kcal,Planned daily energy,all,kcal,2050,2100,2250,"NutriMom trimester 3 plan + diabetes-aware adjustment","Below the generic calculator energy target of 2781 kcal to keep glucose load more controlled while preserving nutrient density."
daily,protein_g,Daily protein,all,g,120,130,140,"NutriMom protein target adapted for meal planning","Project calculator gives 110 g minimum; meal plan keeps a higher protein floor for satiety and glucose control."
daily,carbs_g,Daily carbohydrate,all,g,175,185,205,"NutriMom pregnancy minimum + diabetes-aware distribution","Project calculator gives 175 g minimum and a generic remaining-energy value of 446 g; this plan uses the lower diabetic-friendly range."
daily,fat_g,Daily fat,all,g,75,85,95,"NutriMom meal-planning target","Keeps meals satisfying without overshooting energy."
daily,fiber_g,Daily fiber,all,g,35,40,45,"NutriMom fiber rule-of-thumb","Project calculator target is 39 g/day."
daily,water_l,Daily fluids,all,L,3.5,4.0,5.0,"NutriMom trimester 3 hydration target","Project calculator water target is 5.0 L total water from beverages plus food."
daily,sodium_mg,Sodium maximum,all,mg,0,0,2300,"NutriMom trimester 3 target","Prefer staying closer to 1800-2200 mg/day when possible."
daily,folate_dfe_ug,Folate,all,ug,600,600,1000,"NutriMom trimester 3 target","Food should contribute strongly; prenatal supplement usually closes any remaining gap."
daily,iron_mg,Iron,all,mg,27,27,45,"NutriMom trimester 3 target","Food alone may not reliably reach 27 mg/day; prenatal or prescribed iron is commonly needed."
daily,calcium_mg,Calcium,all,mg,1000,1000,2500,"NutriMom trimester 3 target","Use dairy, kefir, yogurt, sardines, tofu, and fortified foods."
daily,vitamin_d_ug,Vitamin D,all,ug,15,15,100,"NutriMom trimester 3 target","Often supported by fish, fortified dairy, and clinician-guided supplementation."
daily,iodine_ug,Iodine,all,ug,220,220,1100,"NutriMom trimester 3 target","Use seafood, dairy, and iodized salt."
daily,choline_mg,Choline,all,mg,450,450,3500,"NutriMom trimester 3 target","Eggs, fish, poultry, and dairy are the main contributors."
daily,dha_mg,DHA,all,mg,200,200,0,"NutriMom trimester 3 target","Fatty fish meals make this easier to hit."
daily,epa_mg,EPA,all,mg,50,50,0,"NutriMom trimester 3 practical target","Practical target used in the project for combined EPA + DHA planning."
slot,energy_kcal,Breakfast energy,breakfast,kcal,400,450,500,"Meal-slot planning rule","Use with 30-45 g carbs and 20-30 g protein."
slot,protein_g,Breakfast protein,breakfast,g,20,25,32,"Meal-slot planning rule","High-protein breakfasts improve satiety and lower glycemic variability."
slot,carbs_g,Breakfast carbs,breakfast,g,30,38,45,"Meal-slot planning rule","Prefer oats, whole grain bread, quinoa, fruit portions, and dairy."
slot,fat_g,Breakfast fat,breakfast,g,12,18,26,"Meal-slot planning rule","Keep fat moderate to avoid excessive post-meal heaviness."
slot,fiber_g,Breakfast fiber,breakfast,g,7,9,12,"Meal-slot planning rule","Aim for chia, berries, oats, flax, or whole grains."
slot,energy_kcal,Snack energy,snack,kcal,180,220,260,"Meal-slot planning rule","Applies to both snack 1 and snack 2."
slot,protein_g,Snack protein,snack,g,8,10,16,"Meal-slot planning rule","Protein prevents snacks from becoming carb-only glucose spikes."
slot,carbs_g,Snack carbs,snack,g,15,20,25,"Meal-slot planning rule","Prefer fruit + protein/fat pairings or cultured dairy."
slot,fat_g,Snack fat,snack,g,7,10,14,"Meal-slot planning rule","Mostly from nuts, seeds, avocado, hummus, or dairy."
slot,fiber_g,Snack fiber,snack,g,3,5,8,"Meal-slot planning rule","Use fruit skins, chia, crackers with seeds, nuts, or vegetables."
slot,energy_kcal,Lunch energy,lunch,kcal,550,620,700,"Meal-slot planning rule","Lunch is a main anchor meal with protein, vegetables, and controlled starch."
slot,protein_g,Lunch protein,lunch,g,35,40,46,"Meal-slot planning rule","Lunch should carry a large share of the day's protein."
slot,carbs_g,Lunch carbs,lunch,g,40,48,55,"Meal-slot planning rule","Use legumes, intact grains, potatoes, or pasta in measured portions."
slot,fat_g,Lunch fat,lunch,g,18,22,28,"Meal-slot planning rule","Favor fish, avocado, olive oil, nuts, and seeds."
slot,fiber_g,Lunch fiber,lunch,g,8,11,14,"Meal-slot planning rule","Use legumes, greens, and whole grains."
slot,energy_kcal,Dinner energy,dinner,kcal,550,620,700,"Meal-slot planning rule","Dinner should be satisfying but not excessively heavy."
slot,protein_g,Dinner protein,dinner,g,35,40,46,"Meal-slot planning rule","Supports overnight satiety and smoother glucose response."
slot,carbs_g,Dinner carbs,dinner,g,40,48,56,"Meal-slot planning rule","Use moderate portions of legumes, grains, or starchy vegetables."
slot,fat_g,Dinner fat,dinner,g,18,22,28,"Meal-slot planning rule","Keep balanced with protein and vegetables."
slot,fiber_g,Dinner fiber,dinner,g,8,11,14,"Meal-slot planning rule","Vegetables plus legumes or whole grains should cover this."
