day,exercise_code,start_time,end_time,exercise_name,exercise_description,duration_min,category,intensity,notes
Monday,EX01,08:45,09:15,Morning walk,"30 minutes at talk-test pace on flat ground",30,walk,light,"Helps glucose control after breakfast and reduces stiffness."
Monday,EX02,18:00,18:30,Prenatal strength and pelvic floor,"2 rounds of sit-to-stand x10, wall push-up x10, band row x12, side steps x12/side, pelvic floor breathing 5 minutes",30,strength,light_to_moderate,"Stop if contractions, dizziness, bleeding, or pain appear."
Monday,EX03,20:45,21:10,Post-dinner walk,"20 to 25 minutes at easy pace after dinner",25,walk,light,"Useful for post-dinner glucose stability."
Tuesday,EX04,08:45,09:15,Morning walk,"30 minutes at talk-test pace on flat ground",30,walk,light,"Keep posture tall and use supportive shoes."
Tuesday,EX05,18:00,18:30,Prenatal yoga and mobility,"Hip openers, thoracic mobility, calf stretch, cat-cow, breathing reset",30,mobility,light,"Avoid long holds and any position that causes discomfort."
Tuesday,EX06,20:45,21:10,Post-dinner walk,"20 to 25 minutes at easy pace after dinner",25,walk,light,"Shorten to 15 minutes if fatigued."
Wednesday,EX07,08:45,09:15,Morning walk,"30 minutes at talk-test pace on flat ground",30,walk,light,"Use this as a circulation session if legs feel heavy."
Wednesday,EX08,18:00,18:30,Prenatal strength and pelvic floor,"2 rounds of supported squat x10, band pull-apart x12, glute bridge x12, bird-dog x8/side, pelvic floor breathing 5 minutes",30,strength,light_to_moderate,"Keep effort moderate and breathing continuous."
Wednesday,EX09,20:45,21:10,Post-dinner walk,"20 to 25 minutes at easy pace after dinner",25,walk,light,"Focus on comfort and steady rhythm."
Thursday,EX10,08:45,09:15,Morning walk,"30 minutes at talk-test pace on flat ground",30,walk,light,"Optional split into two 15-minute walks if needed."
Thursday,EX11,18:00,18:30,Prenatal yoga and mobility,"Gentle mobility, seated stretches, breathing, pelvic tilts, and shoulder opening",30,mobility,light,"Use pillows or supports as needed."
Thursday,EX12,20:45,21:10,Post-dinner walk,"20 to 25 minutes at easy pace after dinner",25,walk,light,"Maintain conversational effort only."
Friday,EX13,08:45,09:15,Morning walk,"30 minutes at talk-test pace on flat ground",30,walk,light,"Good day to choose the flattest route."
Friday,EX14,18:00,18:30,Prenatal strength and pelvic floor,"2 rounds of chair squat x10, wall push-up x10, suitcase carry 30 seconds/side, calf raise x12, pelvic floor breathing 5 minutes",30,strength,light_to_moderate,"Rest between rounds if needed."
Friday,EX15,20:45,21:10,Post-dinner walk,"20 to 25 minutes at easy pace after dinner",25,walk,light,"Prioritize smooth easy breathing."
Saturday,EX16,08:45,09:15,Morning walk,"30 minutes at talk-test pace on flat ground",30,walk,light,"Keep stride comfortable and relaxed."
Saturday,EX17,18:00,18:30,Prenatal yoga and mobility,"Gentle flow with hip circles, side stretches, cat-cow, ankle mobility, and breathing",30,mobility,light,"Reduce range of motion if pelvic pressure increases."
Saturday,EX18,20:45,21:10,Post-dinner walk,"20 to 25 minutes at easy pace after dinner",25,walk,light,"Use indoor walking if weather is poor."
Sunday,EX19,08:45,09:15,Morning walk,"30 minutes at talk-test pace on flat ground",30,walk,light,"Keep this truly easy for recovery."
Sunday,EX20,18:00,18:20,Recovery stretch,"20 minutes of gentle mobility, breath work, calf stretch, and side-lying relaxation",20,recovery,light,"This is a recovery day, not a training day."
Sunday,EX21,20:45,21:10,Post-dinner walk,"20 to 25 minutes at easy pace after dinner",25,walk,light,"Keep pace easy and relaxing before bed."
