category,item,weekly_quantity,unit,used_in_meals,storage_note
Protein,Salmon fillet,4,fillets,"L01; D05","Buy fresh or frozen; use frozen backup if shopping once per week."
Protein,Hake fillet,2,fillets,"D02","Freeze on purchase if not cooking within 48 hours."
Protein,Trout fillet,2,fillets,"L07","Fresh or frozen."
Protein,Sardines,2,tins,"L04","Choose low-sodium if available."
Protein,Chicken breast,1.6,kg,"L02; L06; D04; D07","Cook in batches and refrigerate portions."
Protein,Turkey breast or mince,0.9,kg,"L05; D01","Freeze half if shopping early in the week."
Protein,Lean beef,0.8,kg,"L03; D06","Choose lean cuts or extra-lean mince."
Protein,Firm calcium-set tofu,400,g,"D03","Keep refrigerated."
Protein,Eggs,18,units,"B02; B04; B07; S04","Useful flex ingredient for extra protein."
Dairy,Greek yogurt,1.4,kg,"B01; S02","Choose unsweetened."
Dairy,Plain yogurt,500,g,"B04","Unsweetened."
Dairy,Cottage cheese,500,g,"B06","Keep chilled."
Dairy,Ricotta,250,g,"B07","Use within 4-5 days once opened."
Dairy,Kefir,1.5,L,"S05; S07 base if desired","Unsweetened."
Dairy,Milk,2,L,"B02; B05; S07","Prefer plain milk or fortified unsweetened alternative."
Grains,Rolled oats,600,g,"B01; B03; B06","Store dry in sealed container."
Grains,Whole grain bread,2,loaves,"B02; B07; L06","Slice and freeze part of it if needed."
Grains,Rye bread,1,small loaf,"B04","Can be merged with whole grain bread if preferred."
Grains,Quinoa dry,700,g,"B05; L01; D03; D04; D06","Cook a batch for multiple meals."
Grains,Brown rice dry,500,g,"L02; D07","Cook and chill quickly for safe reuse."
Grains,Whole grain pasta,250,g,"L04","Dry pantry item."
Grains,Barley dry,200,g,"L03","Pantry stable."
Grains,Farro dry,200,g,"D05","Optional swap with barley or quinoa."
Grains,Seeded crackers,1,pack,"S03","Choose whole grain, no added sugar."
Legumes,Chickpeas cooked,4,cans,"L02; D07","Rinse to reduce sodium."
Legumes,Lentils dry,700,g,"L05; L06; D01","Cook a large batch once."
Legumes,Beans cooked,2,cans,"L03","Rinse before using."
Produce,Spinach,700,g,"L01; B04; L07","Fresh or frozen."
Produce,Broccoli,2,heads,"D01","Refrigerate unwashed."
Produce,Green beans,500,g,"D02","Fresh or frozen."
Produce,Sweet potatoes,1.5,kg,"D02","Cool dark storage."
Produce,Zucchini,4,large,"D06","Refrigerated."
Produce,Bell peppers,4,large,"L05; L03","Refrigerated."
Produce,Mixed stir-fry vegetables,1.2,kg,"D03; D04; D05; D07","Use fresh and frozen mix as needed."
Produce,Salad greens,3,bags,"L02; L04; D06","Wash and dry well."
Produce,Avocados,4,units,"B02; D04","Buy mixed ripeness."
Produce,Blueberries,300,g,"B01; B05","Fresh or frozen."
Produce,Raspberries,250,g,"B03","Fresh or frozen."
Produce,Strawberries,500,g,"S05","Fresh or frozen."
Produce,Apples,4,units,"S01","Keep chilled for longer shelf life."
Produce,Pears,3,units,"S06","Ripen at room temperature."
Produce,Kiwi,2,units,"S02","Refrigerate when ripe."
Produce,Oranges,2,units,"S04","Room temperature fine."
Produce,Peaches,2,units,"B06","Swap with nectarines if needed."
Produce,Carrots,1,kg,"S03; soups and curries","Store in crisper drawer."
Produce,Onions,8,units,"L03; L05; L06; D01; D06; D07","Cool dry storage."
Produce,Garlic,2,heads,"multiple cooked meals","Pantry stable."
Produce,Tomatoes or canned tomatoes,6,units,"L03; D01; D07","Use cans for chili, stew, and curry."
Nuts and seeds,Chia seeds,300,g,"B01; S05; S07","Keep sealed and dry."
Nuts and seeds,Walnuts,150,g,"B05; S02","Store refrigerated after opening."
Nuts and seeds,Pumpkin seeds,200,g,"B03; S06","Good iron and magnesium add-on."
Nuts and seeds,Mixed nuts,150,g,"S04","Portion into snack bags."
Pantry,Natural peanut butter,1,jar,"S01","Choose no added sugar."
Pantry,Olive oil,1,bottle,"multiple meals","Main cooking fat."
Pantry,Curry spices,1,jar,"D07","No-sugar blend preferred."
Pantry,Cinnamon,1,jar,"B01; S07","Useful in sweet breakfasts without added sugar."
Pantry,Iodized salt,1,pack,"all cooked meals","Use measured amounts to support iodine while respecting sodium limits."
