meal_slot,meal_code,dish_name,serving_description,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,folate_dfe_ug,iron_mg,calcium_mg,iodine_ug,choline_mg,dha_mg,epa_mg,vitamin_d_ug,potassium_mg,meets_slot_reqs,coverage_note,main_ingredients
breakfast,B01,"Oats with Greek yogurt, chia, blueberries and cinnamon","1 bowl",430,28,42,16,11,85,3.0,340,45,40,0,0,2.0,480,yes,"Strong fiber and calcium breakfast; pair with water or unsweetened tea.","rolled oats; Greek yogurt; chia seeds; blueberries; cinnamon"
breakfast,B02,"Eggs, avocado, whole grain toast and milk","2 eggs + 2 toast + 1/2 avocado + 1 cup milk",480,26,38,26,9,125,3.5,400,70,320,0,0,3.0,600,yes,"Excellent choline breakfast and one of the highest-calcium options.","eggs; avocado; whole grain bread; milk"
breakfast,B03,"Overnight oats with pumpkin seeds and raspberries","1 jar",440,24,44,17,12,65,4.5,260,35,30,0,0,2.0,500,yes,"High-fiber breakfast with magnesium and iron support.","rolled oats; pumpkin seeds; raspberries; yogurt or milk"
breakfast,B04,"Spinach omelette, rye toast and yogurt","2-egg omelette + 2 rye toast + 1 plain yogurt",470,31,38,24,8,145,4.0,260,60,310,0,0,2.8,520,yes,"Very strong choline and folate contribution.","eggs; spinach; rye bread; plain yogurt"
breakfast,B05,"Quinoa porridge with milk, walnuts and blueberries","1 bowl",450,22,46,17,8,55,3.2,290,55,35,0,0,2.0,430,yes,"Useful swap when oats feel repetitive; still keeps glucose load moderate.","quinoa; milk; walnuts; blueberries"
breakfast,B06,"Cottage cheese, oats, peach and flax","1 bowl",430,27,40,14,8,60,2.5,280,50,45,0,0,1.0,450,yes,"High-protein breakfast with moderate carbs.","cottage cheese; oats; peach; flaxseed"
breakfast,B07,"Whole grain toast with ricotta, berries and eggs","2 toast + ricotta + berries + 2 eggs",460,28,40,20,7,75,3.2,260,65,250,0,0,2.5,380,yes,"Balanced breakfast that swaps yogurt texture for ricotta.","whole grain bread; ricotta; berries; eggs"
snack,S01,"Apple with natural peanut butter","1 apple + 2 tbsp peanut butter",210,5,22,11,5,15,0.7,25,0,0,0,0,0.0,240,yes,"Best used when main meals are already protein-rich.","apple; natural peanut butter"
snack,S02,"Greek yogurt with walnuts and kiwi","1 cup yogurt + 15 g walnuts + 1 kiwi",230,15,19,11,3,20,0.6,220,45,20,0,0,0.0,250,yes,"Adds calcium and iodine while staying low glycemic.","Greek yogurt; walnuts; kiwi"
snack,S03,"Hummus, carrot sticks and seeded crackers","1 snack plate",240,8,24,12,6,80,1.6,80,0,20,0,0,0.0,350,yes,"Higher-fiber snack that works well before lunch or after a long gap.","hummus; carrots; seeded crackers"
snack,S04,"Boiled egg, orange and mixed nuts","1 egg + 1 orange + 15 g nuts",220,10,16,11,4,28,1.4,50,0,150,0,0,0.6,260,yes,"Strong choline snack; helpful on lower-protein days.","egg; orange; mixed nuts"
snack,S05,"Kefir with strawberries and chia","1 glass kefir bowl",220,12,18,9,7,30,1.2,260,40,25,0,0,0.0,280,yes,"Best calcium-boosting snack in the library.","kefir; strawberries; chia seeds"
snack,S06,"Pear with pumpkin seeds","1 pear + 20 g pumpkin seeds",210,8,21,11,5,25,2.2,50,0,0,0,0,0.0,260,yes,"Useful for iron and magnesium support.","pear; pumpkin seeds"
snack,S07,"Chia pudding","1 small cup",220,10,18,12,8,35,1.5,240,25,10,0,0,0.0,220,yes,"Highest-fiber snack option; rotates well into evenings.","chia seeds; milk or kefir; cinnamon"
lunch,L01,"Salmon, quinoa and spinach bowl","1 large bowl",620,42,45,26,9,220,4.0,120,100,130,1100,500,14.0,850,yes,"Best omega-3 lunch; pair with leafy greens and lemon.","salmon; quinoa; spinach; vegetables; olive oil"
lunch,L02,"Chicken, chickpea and brown rice salad","1 large plate",610,43,55,21,12,240,5.0,120,40,110,0,0,0.5,900,yes,"Higher-carb lunch but still inside slot range due to legume fiber.","chicken breast; chickpeas; brown rice; greens"
